,Countries,Frequency
0,United States of America,629
1,Germany,47
2,France,62
3,Spain,29
4,Poland,2
5,United Kingdom,125
6,Portugal,3
7,Switzerland,4
8,Hungary,4
9,Mexico,7
10,Brazil,32
11,Canada,22
12,Ireland,7
13,China,9
14,Hong Kong,3
15,Taiwan,1
16,Belgium,5
17,Bahamas,2
18,Czech Republic,5
19,Argentina,4
20,South Korea,4
21,Netherlands,4
22,Norway,2
23,Sweden,8
24,New Zealand,2
25,Turkey,1
26,Japan,5
27,Morocco,1
28,Italy,13
29,Denmark,3
30,Malta,1
31,Serbia,1
32,Australia,10
33,South Africa,4
34,Puerto Rico,1
35,Greece,3
36,United Arab Emirates,2
37,Malaysia,1
38,Kenya,1
39,Austria,2
40,Slovakia,2
41,Soviet Union,1
42,Iran,3
