,Languages,Frequency
0,English,664
1,Italian,42
2,French,103
3,No Language,26
4,German,54
5,Swahili,6
6,Latin,10
7,Mandarin,28
8,Spanish,89
9,Russian,28
10,Japanese,18
11,Arabic,11
12,Swedish,10
13,Somali,3
14,Portuguese,39
15,Greek,12
16,Sanskrit,2
17,Tamil,2
18,Cantonese,13
19,Vietnamese,6
20,Korean,8
21,Finnish,1
22,Hungarian,5
23,Xhosa,4
24,Persian,3
25,Urdu,1
26,Bulgarian,2
27,Czech,3
28,Dutch,4
29,Esperanto,2
30,Danish,4
31,Afrikaans,2
32,Hindi,5
33,Norwegian,3
34,Icelandic,1
35,Albanian,3
36,Tibetan,1
37,Romanian,1
38,Catalan,1
39,Malay,2
40,Thai,1
41,Haitian; Haitian Creole,1
42,Hebrew,2
43,Nepali,1
44,Moldavian,1
45,Croatian,1
46,Tagalog,1
47,Estonian,1
48,Inuktitut,1
49,Maltese,1
50,Punjabi,1
