Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2016-07-01,Vertigo,1958,https://boxd.it/ai0QR,4.5,Yes,,2016-06-30
2016-07-02,Finding Dory,2016,https://boxd.it/aiHWX,5,,,2016-07-01
2016-10-04,12 Angry Men,1997,https://boxd.it/bwMR1,3.5,,,2016-10-03
2017-01-20,No Country for Old Men,2007,https://boxd.it/djvoN,3,Yes,,2017-01-19
2017-10-23,Bye Bye Germany,2017,https://boxd.it/l3XWj,3.5,,,2017-10-21
2018-01-26,Collateral Beauty,2016,https://boxd.it/o52sx,3.5,Yes,,2018-01-25
2018-10-21,Call Me by Your Name,2017,https://boxd.it/xS27D,,,,2018-10-20
2019-08-16,Suicide Squad,2016,https://boxd.it/MSUUf,3,,,2019-08-15
2020-03-31,Wanted,2008,https://boxd.it/13xXXn,3.5,Yes,,2020-03-31
2020-05-02,Escape Room,2019,https://boxd.it/17vYEt,2.5,,,2020-05-01
2020-05-04,Isle of Dogs,2018,https://boxd.it/17K6vH,4.5,,,2020-05-03
2020-06-14,Psycho,1960,https://boxd.it/1cpmE9,4.5,,,2020-06-13
2020-10-27,Incredibles 2,2018,https://boxd.it/1qyGKP,4.5,Yes,,2020-10-27
2021-07-12,Holes,2003,https://boxd.it/1ZjQwt,3,,,2021-07-11
2021-08-24,Eyes Wide Shut,1999,https://boxd.it/25DrcH,4.5,Yes,,2021-08-24
2022-02-01,The Human Voice,2020,https://boxd.it/2xAyx9,4,Yes,,2022-02-01
2022-02-01,The Trial,1962,https://boxd.it/2xAz5v,3.5,Yes,,2022-02-01
2022-02-27,Obsessed,2009,https://boxd.it/2Ceq8h,2.5,,,2022-02-25
2022-06-26,En Corps +,2021,https://boxd.it/2XN8aX,4.5,,,2022-06-25
