
Date,Name,Tags,URL,Description
2020-12-02,"1/2 lá, 1/2 cá",,https://boxd.it/alweM,"Filmes que nunca assisti completos por motivos de ida aos braços de Morfeu, sem tempo irmão ou meras acontecências..."

Position,Name,Year,URL,Description
1,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/2b5O,
2,Donnie Darko,2001,https://boxd.it/2b2A,
3,8½,1963,https://boxd.it/2aqm,
4,Roma,2018,https://boxd.it/f69M,
5,Midsommar,2019,https://boxd.it/jhxe,
6,The Hateful Eight,2015,https://boxd.it/8gw8,
7,Requiem for a Dream,2000,https://boxd.it/29VI,
8,Deadpool,2016,https://boxd.it/9fOC,
9,Back to the Future,1985,https://boxd.it/2b8e,
10,The Godfather: Part II,1974,https://boxd.it/2aNq,
11,Manifesto,2015,https://boxd.it/diI6,
12,Les Misérables,2012,https://boxd.it/2TT4,
13,La Chinoise,1967,https://boxd.it/28rC,
14,Knight of Cups,2015,https://boxd.it/34Qq,
15,Leto,2018,https://boxd.it/i9Tu,
16,Prisoners,2013,https://boxd.it/4E5i,
17,The Secret Life of Walter Mitty,2013,https://boxd.it/3SWy,
18,The Milky Way,1969,https://boxd.it/1cVk,
19,A Fistful of Dollars,1964,https://boxd.it/2auo,
20,The 400 Blows,1959,https://boxd.it/2b1C,
21,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://boxd.it/29eY,
22,Nosferatu,1922,https://boxd.it/29TM,
23,Raising Arizona,1987,https://boxd.it/2avQ,
