
Date,Name,Tags,URL,Description
2022-01-14,2022 🌿,,https://boxd.it/eYh5E,"New films watched so far... 👀


Series/TV Shows: 76 - 78
Shorts: 79 - 98
Emicida: 99 - 100"

Position,Name,Year,URL,Description
1,GoodFellas,1990,https://boxd.it/29FA,
2,Boogie Nights,1997,https://boxd.it/23um,
3,The Piano Teacher,2001,https://boxd.it/2886,
4,Playing,2007,https://boxd.it/33Oe,
5,Carol,2015,https://boxd.it/7DPK,
6,Waiting for Bojangles,2021,https://boxd.it/w7Ra,
7,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,
8,The French Dispatch,2021,https://boxd.it/jLP8,
9,Brief Encounter,1945,https://boxd.it/29sm,
10,Carrie,1976,https://boxd.it/20ZQ,
11,Rebel Without a Cause,1955,https://boxd.it/2aQu,
12,Notorious,1946,https://boxd.it/2aDK,
13,Strangers on a Train,1951,https://boxd.it/29tk,
14,The Truman Show,1998,https://boxd.it/18U8,
15,Live Flesh,1997,https://boxd.it/2aJ4,
16,The Hunt,2012,https://boxd.it/3wEC,
17,Charade,1963,https://boxd.it/23O2,
18,Top Gun: Maverick,2022,https://boxd.it/cjr4,
19,Parallel Mothers,2021,https://boxd.it/sOP4,
20,Chungking Express,1994,https://boxd.it/1UDa,
21,Rise,2022,https://boxd.it/sZ1Y,
22,Batman & Robin,1997,https://boxd.it/2ar0,
23,A History of Violence,2005,https://boxd.it/2bfa,
24,Dial M for Murder,1954,https://boxd.it/2adW,
25,The Karate Kid,1984,https://boxd.it/27Wk,
26,The Human Voice,2020,https://boxd.it/p148,
27,Jackie Brown,1997,https://boxd.it/2aVO,
28,Amateur,1994,https://boxd.it/1lQ4,
29,The Swindle,1997,https://boxd.it/12w,
30,The Seventh Seal,1957,https://boxd.it/2ahO,
31,I'm So Excited!,2013,https://boxd.it/4BRI,
32,The Killing of a Sacred Deer,2017,https://boxd.it/dZ5G,
33,The Master,2012,https://boxd.it/2cBG,
34,The Trial,1962,https://boxd.it/25Xg,
35,CODA,2021,https://boxd.it/tbf4,
36,The Butterfly Effect,2004,https://boxd.it/27M0,
37,Jules and Jim,1962,https://boxd.it/28rM,
38,The Maltese Falcon,1941,https://boxd.it/29c4,
39,The Lost Daughter,2021,https://boxd.it/kgww,
40,A Quiet Place,2018,https://boxd.it/fVJQ,
41,Laurel Canyon,2002,https://boxd.it/1Plq,
42,I Am Legend,2007,https://boxd.it/21DG,
43,Yes Man,2008,https://boxd.it/1WPW,
44,The Birds,1963,https://boxd.it/2a6m,
45,Jurassic World Dominion,2022,https://boxd.it/ikXW,
46,Executive Order,2020,https://boxd.it/mHQC,
47,A Time to Kill,1996,https://boxd.it/28pc,
48,The Greatest Showman,2017,https://boxd.it/acjI,
49,The Good German,2006,https://boxd.it/2aW8,
50,The Parent Trap,1961,https://boxd.it/1Fw4,
51,Lethal Weapon,1987,https://boxd.it/29e0,
52,Valentine's Day,2010,https://boxd.it/1gui,
53,Game Night,2018,https://boxd.it/fRtu,
54,Senior Year,2022,https://boxd.it/u8C2,
55,Misbehaviour,2020,https://boxd.it/kPkU,
56,The Suicide Squad,2021,https://boxd.it/fw6O,
57,The Unforgivable,2021,https://boxd.it/nZ4e,
58,The Tinder Swindler,2022,https://boxd.it/yMLw,
59,Sing 2,2021,https://boxd.it/fAnE,
60,The Batman,2022,https://boxd.it/eDGs,
61,Fantastic Beasts: The Secrets of Dumbledore,2022,https://boxd.it/bg8Q,
62,Our Brand Is Crisis,2015,https://boxd.it/1Wyw,
63,Murder by Numbers,2002,https://boxd.it/1SQc,
64,Sister Act 2: Back in the Habit,1993,https://boxd.it/21Qq,
65,Obsessed,2009,https://boxd.it/1IOU,
66,White Hot: The Rise & Fall of Abercrombie & Fitch,2022,https://boxd.it/zZ8O,
67,Mr. Deeds,2002,https://boxd.it/27BQ,
68,Death on the Nile,2022,https://boxd.it/ifpg,
69,Ender's Game,2013,https://boxd.it/2N9Y,
70,The Royal Treatment,2022,https://boxd.it/tIGs,
71,Spiderhead,2022,https://boxd.it/mLsO,
72,Serenity,2019,https://boxd.it/g9sk,
73,Texas Chainsaw Massacre,2022,https://boxd.it/ns6c,
74,Eternals,2021,https://boxd.it/j36o,
75,Morbius,2022,https://boxd.it/j978,
76,Euphoria: F*ck Anyone Who’s Not a Sea Blob,2021,https://boxd.it/tMkU,
77,Euphoria: Trouble Don't Last Always,2020,https://boxd.it/ta4a,
78,Irmão do Jorel: Especial Carnaval Bruttal,2022,https://boxd.it/zxjY,
79,Women Reply,1975,https://boxd.it/5Eie,
80,The Alphabet,1969,https://boxd.it/Ssi,
81,The Pleasure of Love in Iran,1976,https://boxd.it/4zPA,
82,Six Men Getting Sick,1967,https://boxd.it/HDu,
83,Hotel Vivier Cinémathèque,2020,https://boxd.it/tnP4,
84,Doppelgänger,2012,https://boxd.it/7mxa,
85,Romeo and Dynamite in the Valley of Remembrance,2022,https://boxd.it/AGsM,
86,The Astronomer's Dream,1898,https://boxd.it/3yr6,
87,A Terrible Night,1896,https://boxd.it/3y84,
88,A Serpentine Dance,1896,https://boxd.it/m71o,
89,Playing Cards,1896,https://boxd.it/3y8o,
90,Post No Bills,1896,https://boxd.it/3OvS,
91,The Vanishing Lady,1896,https://boxd.it/3y7q,
92,A Daring Daylight Burglary,1903,https://boxd.it/5u7g,
93,The Girl and Her Trust,1912,https://boxd.it/4a9u,
94,Arrival of a Train at Vincennes Station,1896,https://boxd.it/d14o,
95,Cinderella,1899,https://boxd.it/3OwG,
96,Let's Eat,2020,https://boxd.it/s5pA,
97,Life Is Beautiful,2013,https://boxd.it/bP8Q,
98,Aningaaq,2013,https://boxd.it/70VO,
