
Date,Name,Tags,URL,Description
2021-11-02,"Ao infinito, e além! 💫",,https://boxd.it/dTXHQ,

Position,Name,Year,URL,Description
1,2001: A Space Odyssey,1968,https://boxd.it/2bf0,
2,Interstellar,2014,https://boxd.it/4VZ8,
3,The Martian,2015,https://boxd.it/8SeG,
4,A Trip to the Moon,1902,https://boxd.it/29EC,
5,Apollo 13,1995,https://boxd.it/2a6G,
6,Gravity,2013,https://boxd.it/GZY,
7,Ad Astra,2019,https://boxd.it/ePzI,
8,Alien,1979,https://boxd.it/2awY,
9,High Life,2018,https://boxd.it/d6bk,
10,Lightyear,2022,https://boxd.it/qV1G,
11,WALL·E,2008,https://boxd.it/1VEo,
12,Life,2017,https://boxd.it/dRqG,
13,Star Wars,1977,https://boxd.it/72s,
14,Barbarella,1968,https://boxd.it/20Ba,
15,Passengers,2016,https://boxd.it/8lFu,
16,First Man,2018,https://boxd.it/cPym,
17,Contact,1997,https://boxd.it/29OM,
