
Date,Name,Tags,URL,Description
2021-12-31,Comédias leves que te fazem feliz 😄,,https://boxd.it/eD7P6,

Position,Name,Year,URL,Description
1,The Proposal,2009,https://boxd.it/1HiS,
2,The Devil Wears Prada,2006,https://boxd.it/2awE,
3,The Lizzie McGuire Movie,2003,https://boxd.it/1GoA,
4,The Nanny Diaries,2007,https://boxd.it/1RZM,
5,Miss Congeniality,2000,https://boxd.it/28GM,
6,The Emperor's New Groove,2000,https://boxd.it/1Tey,
7,10 Things I Hate About You,1999,https://boxd.it/23AO,
8,13 Going on 30,2004,https://boxd.it/1X6e,
9,Pretty Woman,1990,https://boxd.it/2b6M,
10,Ferris Bueller's Day Off,1986,https://boxd.it/1YPY,
11,Mr. & Mrs. Smith,2005,https://boxd.it/29CG,
12,The Parent Trap,1998,https://boxd.it/1XJq,
13,Roman Holiday,1953,https://boxd.it/29zW,
14,Legally Blonde,2001,https://boxd.it/1ZNa,
15,Just My Luck,2006,https://boxd.it/1XgS,
16,"Crazy, Stupid, Love.",2011,https://boxd.it/D9A,
