
Date,Name,Tags,URL,Description
2022-01-10,Curso MIS: Da literatura para o cinema: a arte da adaptação 📚🎥 ,,https://boxd.it/eSOIC,"Todos os filmes citados no programa do curso ministrado pelo professor Marcelo Lyra: 1 - 14, e os citados nas discussões em sala."

Position,Name,Year,URL,Description
1,Cinderella,1899,https://boxd.it/3OwG,
2,A Trip to the Moon,1902,https://boxd.it/29EC,
3,The Godfather,1972,https://boxd.it/2aNK,
4,Apocalypse Now,1979,https://boxd.it/6ZS,
5,Heart of Darkness,1993,https://boxd.it/23Qs,
6,Vertigo,1958,https://boxd.it/2apI,
7,Psycho,1960,https://boxd.it/2ab2,
8,Blade Runner,1982,https://boxd.it/2bcA,
9,Jaws,1975,https://boxd.it/2a5e,
10,Touch of Evil,1958,https://boxd.it/28II,
11,GoodFellas,1990,https://boxd.it/29FA,
12,Harry Potter and the Chamber of Secrets,2002,https://boxd.it/29QI,
13,Shoot the Piano Player,1960,https://boxd.it/285w,
14,Jackie Brown,1997,https://boxd.it/2aVO,
15,Citizen Kane,1941,https://boxd.it/71O,
16,The Tragedy of Macbeth,2021,https://boxd.it/lMi4,
17,Macbeth,2015,https://boxd.it/6FE8,
18,Macbeth,1948,https://boxd.it/1qKA,
19,The Old Man and the Sea,1958,https://boxd.it/1U74,
20,Romeo + Juliet,1996,https://boxd.it/2ama,
21,Ran,1985,https://boxd.it/1Tlu,
22,Psycho,1998,https://boxd.it/1Ugg,
23,United 93,2006,https://boxd.it/1XHY,
24,2001: A Space Odyssey,1968,https://boxd.it/2bf0,
25,The Postman,1994,https://boxd.it/1URG,
26,Jules and Jim,1962,https://boxd.it/28rM,
27,Rebecca,1940,https://boxd.it/2aQa,
28,Easy Virtue,1928,https://boxd.it/1bre,
29,A Daring Daylight Burglary,1903,https://boxd.it/5u7g,
30,The Girl and Her Trust,1912,https://boxd.it/4a9u,
31,The Birth of a Nation,1915,https://boxd.it/29Zg,
32,Double Indemnity,1944,https://boxd.it/297I,
33,Elephant,2003,https://boxd.it/287i,
34,Paranoid Park,2007,https://boxd.it/27GQ,
