
Date,Name,Tags,URL,Description
2022-01-10,Curso MIS: História do cinema: a evolução da linguagem cinematográfica 🎞,,https://boxd.it/eSPsg,Tentativa de reunir em uma lista um pouco de tudo do que é citado no resumo do programa do curso do MIS oferecido pelo professor Marcelo Lyra.

Position,Name,Year,URL,Description
1,The Arrival of a Train at La Ciotat,1896,https://boxd.it/2aZw,
2,A Trip to the Moon,1902,https://boxd.it/29EC,
3,City Lights,1931,https://boxd.it/29ki,
4,The General,1926,https://boxd.it/29co,
5,Metropolis,1927,https://boxd.it/71a,
6,M,1931,https://boxd.it/29vq,
7,The Daughter of the Lawyer,1926,https://boxd.it/6TyI,
8,Citizen Kane,1941,https://boxd.it/71O,
9,Seven Samurai,1954,https://boxd.it/2axi,
10,Tokyo Story,1953,https://boxd.it/1HuY,
11,Ugetsu,1953,https://boxd.it/1NyM,
12,Notorious,1946,https://boxd.it/2aDK,
13,"Salò, or the 120 Days of Sodom",1975,https://boxd.it/237s,
14,Roma,1972,https://boxd.it/1UNO,
15,The Seventh Seal,1957,https://boxd.it/2ahO,
16,Breathless,1960,https://boxd.it/2aIK,
17,The 400 Blows,1959,https://boxd.it/2b1C,
18,Belle de Jour,1967,https://boxd.it/29Uq,
19,"Black God, White Devil",1964,https://boxd.it/2fmY,
20,The Red Light Bandit,1968,https://boxd.it/5ESQ,
21,Bang Bang,1971,https://boxd.it/5lb4,
22,Filme Demência,1986,https://boxd.it/5bH0,
23,Men and Women,1964,https://boxd.it/5T8e,
24,Twenty Years Later,1984,https://boxd.it/33Oo,
25,Barry Lyndon,1975,https://boxd.it/25A2,
26,Bicycle Thieves,1948,https://boxd.it/23hW,
27,The Nutty Professor,1963,https://boxd.it/1H9Q,
28,The Player,1992,https://boxd.it/1WlM,
29,Apocalypse Now,1979,https://boxd.it/6ZS,
30,GoodFellas,1990,https://boxd.it/29FA,
31,Jaws,1975,https://boxd.it/2a5e,
32,Star Wars,1977,https://boxd.it/72s,
33,Jackie Brown,1997,https://boxd.it/2aVO,
34,Titanic,1997,https://boxd.it/2a2k,
35,Terminator 2: Judgment Day,1991,https://boxd.it/2aGY,
36,Harry Potter and the Chamber of Secrets,2002,https://boxd.it/29QI,
37,The Matrix,1999,https://boxd.it/2a1m,
