
Date,Name,Tags,URL,Description
2021-09-30,Estreias 2021 🍿 ,,https://boxd.it/dxJWe,

Position,Name,Year,URL,Description
1,No Time to Die,2021,https://boxd.it/cPX2,
2,The Suicide Squad,2021,https://boxd.it/fw6O,
3,Eternals,2021,https://boxd.it/j36o,
4,Dune,2021,https://boxd.it/fA7G,
5,Space Jam: A New Legacy,2021,https://boxd.it/dd9A,
6,The Matrix Resurrections,2021,https://boxd.it/n87k,
7,Black Widow,2021,https://boxd.it/hWV8,
8,Those Who Wish Me Dead,2021,https://boxd.it/lgeu,
9,Reminiscence,2021,https://boxd.it/lhMM,
10,The Mitchells vs. The Machines,2021,https://boxd.it/i7xm,
11,Cruella,2021,https://boxd.it/bbKg,
12,House of Gucci,2021,https://boxd.it/nVkC,
13,Eiffel,2021,https://boxd.it/omw6,
14,Cryptozoo,2021,https://boxd.it/tcuO,
15,Nightmare Alley,2021,https://boxd.it/m0HC,
16,The French Dispatch,2021,https://boxd.it/jLP8,
17,Last Night in Soho,2021,https://boxd.it/lbJC,
18,The Unforgivable,2021,https://boxd.it/nZ4e,
19,The Lost Daughter,2021,https://boxd.it/kgww,
20,Titane,2021,https://boxd.it/nlQC,
21,The Guilty,2021,https://boxd.it/kOPW,
22,The Last Duel,2021,https://boxd.it/mQbe,
23,Spider-Man: No Way Home,2021,https://boxd.it/nwRw,
24,Spencer,2021,https://boxd.it/qPMG,
25,"tick, tick...BOOM!",2021,https://boxd.it/jz2e,
26,Don't Look Up,2021,https://boxd.it/o0Hc,
27,The Mauritanian,2021,https://boxd.it/nWiM,
28,Licorice Pizza,2021,https://boxd.it/qTKY,
29,C'mon C'mon,2021,https://boxd.it/nrI0,
30,Annette,2021,https://boxd.it/f0RS,
31,Bergman Island,2021,https://boxd.it/h86E,
