
Date,Name,Tags,URL,Description
2022-06-28,Français 🇫🇷,,https://boxd.it/h9X0c,

Position,Name,Year,URL,Description
1,"Paris, Je T'Aime",2006,https://boxd.it/273a,
2,Amélie,2001,https://boxd.it/2aUc,
3,Waiting for Bojangles,2021,https://boxd.it/w7Ra,
4,Rise,2022,https://boxd.it/sZ1Y,
5,The Spanish Apartment,2002,https://boxd.it/28Cq,
6,Amateur,1994,https://boxd.it/1lQ4,
7,Deep Water,1981,https://boxd.it/2Ftm,
8,The Pleasure of Love in Iran,1976,https://boxd.it/4zPA,
9,Jules and Jim,1962,https://boxd.it/28rM,
10,The Piano Teacher,2001,https://boxd.it/2886,
11,Cléo from 5 to 7,1962,https://boxd.it/2agm,
12,Welcome,2009,https://boxd.it/1LG0,
13,La Cérémonie,1995,https://boxd.it/287C,
14,Portrait of a Lady on Fire,2019,https://boxd.it/jkPq,
15,The Intouchables,2011,https://boxd.it/2FT0,
16,Amour,2012,https://boxd.it/34Q6,
17,La Chinoise,1967,https://boxd.it/28rC,
18,Brother and Sister,2022,https://boxd.it/vx7K,
19,Women Reply,1975,https://boxd.it/5Eie,
20,Varda by Agnès,2019,https://boxd.it/kihS,
21,Copacabana,2010,https://boxd.it/ZMu,
22,La Vie en Rose,2007,https://boxd.it/28OQ,
23,Tout Va Bien,1972,https://boxd.it/20AQ,
24,The Swindle,1997,https://boxd.it/12w,
25,Tell No One,2006,https://boxd.it/1Vns,
26,Paris,2008,https://boxd.it/20qc,
27,Aloïse,1975,https://boxd.it/5hA,
28,Claire's Camera,2017,https://boxd.it/fl4i,
29,Things to Come,2016,https://boxd.it/d0wc,
30,Irreversible,2002,https://boxd.it/29as,
31,The Lorry,1977,https://boxd.it/5bM,
32,Macadam Stories,2015,https://boxd.it/b6uC,
33,Abuse of Weakness,2013,https://boxd.it/5tni,
34,The Nun,2013,https://boxd.it/4ZRC,
35,In Another Country,2012,https://boxd.it/3wMQ,
36,My Little Princess,2011,https://boxd.it/2IE8,
37,White Material,2009,https://boxd.it/NIg,
