
Date,Name,Tags,URL,Description
2020-03-23,Guaraná,,https://boxd.it/53Muq,Coletânea de filmes brasileiros

Position,Name,Year,URL,Description
1,Invisible Life,2019,https://boxd.it/k1JU,
2,Central Station,1998,https://boxd.it/29RG,
3,City of God,2002,https://boxd.it/2a2a,
4,Aquarius,2016,https://boxd.it/d6YQ,
5,"Master, a Building in Copacabana",2002,https://boxd.it/gJK,
6,They Don't Wear Black Tie,1981,https://boxd.it/66nQ,
7,Estômago: A Gastronomic Story,2007,https://boxd.it/2hnO,
8,The Man Who Copied,2003,https://boxd.it/10Rg,
9,A Dog's Will,2000,https://boxd.it/12u4,
10,Playing,2007,https://boxd.it/33Oe,
11,Madame Satã,2002,https://boxd.it/LO2,
12,Carandiru,2003,https://boxd.it/209g,
13,O Beijo no Asfalto,2018,https://boxd.it/hkyg,
14,Mango Yellow,2002,https://boxd.it/2O12,
15,Ó Paí Ó: Look at This,2007,https://boxd.it/17ru,
16,"Black God, White Devil",1964,https://boxd.it/2fmY,
17,Neighboring Sounds,2012,https://boxd.it/3nzS,
18,Bacurau,2019,https://boxd.it/fSUG,
19,Coffee with Cinnamon,2017,https://boxd.it/gQd8,
20,At Midnight I'll Take Your Soul,1964,https://boxd.it/1kje,
21,All the Women in the World,1966,https://boxd.it/7njS,
22,Entranced Earth,1967,https://boxd.it/qkU,
23,Pixote,1980,https://boxd.it/XCs,
24,Cal,1984,https://boxd.it/XMM,
25,Hour of the Star,1985,https://boxd.it/XUQ,
26,Love Me Forever or Never,1986,https://boxd.it/2AvM,
27,Foreign Land,1995,https://boxd.it/lOg,
28,Four Days in September,1997,https://boxd.it/1Cd4,
29,Behind the Sun,2001,https://boxd.it/1blU,
30,Lower City,2005,https://boxd.it/208M,
31,Time and the Wind,2013,https://boxd.it/6CmK,
32,Antes Que Eu Me Esqueça,2017,https://boxd.it/hhiY,
33,O Juízo,2019,https://boxd.it/ithK,
34,Black Orpheus,1959,https://boxd.it/11PU,
35,The Movie of My Life,2017,https://boxd.it/bm8W,
36,Olga,2004,https://boxd.it/1duO,
37,A Outra Margem,2015,https://boxd.it/hNw4,
38,Twenty Years Later,1984,https://boxd.it/33Oo,
