
Date,Name,Tags,URL,Description
2021-09-02,Inspirados por Roundtables - The Hollywood Reporter,,https://boxd.it/dgoCI,

Position,Name,Year,URL,Description
1,Uncut Gems,2019,https://boxd.it/gXGc,
2,Django Unchained,2012,https://boxd.it/2cCk,
3,Moonlight,2016,https://boxd.it/d6bE,
4,Honey Boy,2019,https://boxd.it/ixvm,
5,Marriage Story,2019,https://boxd.it/hJAw,
6,Ray,2004,https://boxd.it/28km,
7,Boy Erased,2018,https://boxd.it/gWxe,
8,Destroyer,2018,https://boxd.it/gU4u,
9,Reversal of Fortune,1990,https://boxd.it/15mC,
10,Hillbilly Elegy,2020,https://boxd.it/lQmY,
11,Sweeney Todd: The Demon Barber of Fleet Street,2007,https://boxd.it/1PcS,
12,The Kids Are All Right,2010,https://boxd.it/13f0,
13,Being Julia,2004,https://boxd.it/1Gss,
14,The Killing of a Sacred Deer,2017,https://boxd.it/dZ5G,
15,Manny & Lo,1996,https://boxd.it/37OW,
16,Out of Sight,1998,https://boxd.it/28R6,
17,Brief Encounter,1945,https://boxd.it/29sm,
18,Mad Max 2,1981,https://boxd.it/1ZPg,
19,I Know Where I'm Going!,1945,https://boxd.it/pQU,
20,Wings of Desire,1987,https://boxd.it/2b26,
21,"Of Whales, the Moon, and Men",1963,https://boxd.it/2fUG,
22,The Hill,1965,https://boxd.it/1xJY,
23,First They Killed My Father,2017,https://boxd.it/fmCK,
24,Incendies,2010,https://boxd.it/Msm,
25,Tropical Malady,2004,https://boxd.it/1TCA,
