
Date,Name,Tags,URL,Description
2022-07-03,Isabelle Huppert 📌,,https://boxd.it/hdCDU,

Position,Name,Year,URL,Description
1,Frankie,2019,https://boxd.it/iiko,
2,Things to Come,2016,https://boxd.it/d0wc,
3,Macadam Stories,2015,https://boxd.it/b6uC,
4,Abuse of Weakness,2013,https://boxd.it/5tni,
5,The Nun,2013,https://boxd.it/4ZRC,
6,In Another Country,2012,https://boxd.it/3wMQ,
7,Amour,2012,https://boxd.it/34Q6,
8,My Little Princess,2011,https://boxd.it/2IE8,
9,Copacabana,2010,https://boxd.it/ZMu,
10,White Material,2009,https://boxd.it/NIg,
11,Home,2008,https://boxd.it/ecu,
12,Me and My Sister,2004,https://boxd.it/27P4,
13,8 Women,2002,https://boxd.it/27Lm,
14,The Piano Teacher,2001,https://boxd.it/2886,
15,The Swindle,1997,https://boxd.it/12w,
16,La Cérémonie,1995,https://boxd.it/287C,
17,Amateur,1994,https://boxd.it/1lQ4,
18,Madame Bovary,1991,https://boxd.it/26Dc,
19,Malina,1991,https://boxd.it/7UE,
20,Story of Women,1988,https://boxd.it/Y3o,
21,Entre Nous,1983,https://boxd.it/XIU,
22,Godard's Passion,1982,https://boxd.it/1gFK,
23,Deep Water,1981,https://boxd.it/2Ftm,
24,Coup de Torchon,1981,https://boxd.it/1bUA,
25,Heaven's Gate,1980,https://boxd.it/1V2k,
26,Loulou,1980,https://boxd.it/13Jk,
27,Every Man for Himself,1980,https://boxd.it/3NuY,
28,Violette Nozière,1978,https://boxd.it/26fY,
29,The Lacemaker,1977,https://boxd.it/nSE,
30,The Judge and the Assassin,1976,https://boxd.it/16Os,
31,Aloïse,1975,https://boxd.it/5hA,
32,Rosebud,1975,https://boxd.it/27NM,
