
Date,Name,Tags,URL,Description
2022-01-20,👁👄👁,,https://boxd.it/f4We0,"1 & 2: Versões de <i>La Voix Humaine</i> Jean Cocteau; Ingrid Bergman // Tilda Swinton-Almodóvar 
3: Capa do livro de Fernanda Torres “A glória e seu cortejo de horrores”
4: Isabella Roselinni, filha de Ingrid Bergman, foi casada com Martin Scorsese
6: Jean Renoir"

Position,Name,Year,URL,Description
1,The Human Voice,1966,https://boxd.it/i9Zs,
2,The Human Voice,2020,https://boxd.it/p148,
3,The Red Light Bandit,1968,https://boxd.it/5ESQ,
4,Blue Velvet,1986,https://boxd.it/29BI,
5,Vita & Virginia,2018,https://boxd.it/fUIW,
6,Picnic on the Grass,1959,https://boxd.it/VhM,
7,Nightmare Alley,1947,https://boxd.it/1Fya,
8,Children of a Lesser God,1986,https://boxd.it/27VG,
9,The Bélier Family,2014,https://boxd.it/9HYg,
