
Date,Name,Tags,URL,Description
2021-04-26,Oscar 2021 ✨,,https://boxd.it/bVSke,

Position,Name,Year,URL,Description
1,Another Round,2020,https://boxd.it/lkba,
2,Nomadland,2020,https://boxd.it/lnRy,
3,My Octopus Teacher,2020,https://boxd.it/prk2,
4,Ma Rainey's Black Bottom,2020,https://boxd.it/mLcm,
5,Judas and the Black Messiah,2021,https://boxd.it/lsew,
6,If Anything Happens I Love You,2020,https://boxd.it/qIv4,
7,Soul,2020,https://boxd.it/ioLA,
8,The Father,2020,https://boxd.it/m8Ie,
