
Date,Name,Tags,URL,Description
2020-10-29,Pedro Almodóvar: Ranked 🔴,,https://boxd.it/950Oi,

Position,Name,Year,URL,Description
1,All About My Mother,1999,https://boxd.it/2b9c,
2,The Flower of My Secret,1995,https://boxd.it/24we,
3,The Skin I Live In,2011,https://boxd.it/99A,
4,Women on the Verge of a Nervous Breakdown,1988,https://boxd.it/24GI,
5,Bad Education,2004,https://boxd.it/2b2K,
6,Volver,2006,https://boxd.it/2aQO,
7,Live Flesh,1997,https://boxd.it/2aJ4,
8,Law of Desire,1987,https://boxd.it/24Pg,
9,Parallel Mothers,2021,https://boxd.it/sOP4,
10,High Heels,1991,https://boxd.it/20sW,
11,Talk to Her,2002,https://boxd.it/2beG,
12,The Human Voice,2020,https://boxd.it/p148,
13,I'm So Excited!,2013,https://boxd.it/4BRI,
14,What Have I Done to Deserve This?,1984,https://boxd.it/20t6,
15,Dark Habits,1983,https://boxd.it/20tg,
16,Kika,1993,https://boxd.it/20sM,
17,Pain and Glory,2019,https://boxd.it/iOBQ,
