
Date,Name,Tags,URL,Description
2021-06-27,Sandra Bullock: Ranked 👠,,https://boxd.it/cx6Pu,"Meus favoritos de Sandrinha Bullock. <i>A proposta</i> tem um lugar especial no meu coração (❤️), muito superior a todos os outros, mas no geral todos aquecem minha alma."

Position,Name,Year,URL,Description
1,The Proposal,2009,https://boxd.it/1HiS,
2,Miss Congeniality,2000,https://boxd.it/28GM,
3,The Blind Side,2009,https://boxd.it/1zWg,
4,Speed,1994,https://boxd.it/28qk,
5,The Heat,2013,https://boxd.it/4p9a,
6,Gravity,2013,https://boxd.it/GZY,
7,Ocean's Eight,2018,https://boxd.it/eaai,
8,Practical Magic,1998,https://boxd.it/21HS,
9,Bird Box,2018,https://boxd.it/eh1i,
10,The Lake House,2006,https://boxd.it/27yM,
11,While You Were Sleeping,1995,https://boxd.it/27wm,
12,Hope Floats,1998,https://boxd.it/1XYU,
13,Premonition,2007,https://boxd.it/1Xqe,
14,The Unforgivable,2021,https://boxd.it/nZ4e,
15,28 Days,2000,https://boxd.it/1WbM,
16,Two Weeks Notice,2002,https://boxd.it/26wK,
17,All About Steve,2009,https://boxd.it/1yTU,
18,A Time to Kill,1996,https://boxd.it/28pc,
19,Our Brand Is Crisis,2015,https://boxd.it/1Wyw,
20,Murder by Numbers,2002,https://boxd.it/1SQc,
21,Speed 2: Cruise Control,1997,https://boxd.it/28qa,
22,Aningaaq,2013,https://boxd.it/70VO,
