
Date,Name,Tags,URL,Description
2021-12-01,Sci-Fi,,https://boxd.it/edNJW,

Position,Name,Year,URL,Description
1,Dune,1984,https://boxd.it/29tY,
2,Dune,2021,https://boxd.it/fA7G,
3,Alien,1979,https://boxd.it/2awY,
4,Aliens,1986,https://boxd.it/29PA,
5,Star Wars,1977,https://boxd.it/72s,
6,Blade Runner,1982,https://boxd.it/2bcA,
7,Blade Runner 2049,2017,https://boxd.it/b8wK,
8,Inception,2010,https://boxd.it/1skk,
9,Reminiscence,2021,https://boxd.it/lhMM,
10,The Matrix,1999,https://boxd.it/2a1m,
11,The Matrix Reloaded,2003,https://boxd.it/2a1c,
12,The Matrix Revolutions,2003,https://boxd.it/2a12,
13,Interstellar,2014,https://boxd.it/4VZ8,
14,Jurassic Park,1993,https://boxd.it/2aA2,
15,The Lost World: Jurassic Park,1997,https://boxd.it/2azS,
16,Jurassic World,2015,https://boxd.it/4n0g,
17,2001: A Space Odyssey,1968,https://boxd.it/2bf0,
18,A Clockwork Orange,1971,https://boxd.it/2aVE,
19,The Terminator,1984,https://boxd.it/2aQY,
20,Ex Machina,2015,https://boxd.it/7T2k,
