
Date,Name,Tags,URL,Description
2021-12-16,Spider-man 🕷🏆,,https://boxd.it/enw30,

Position,Name,Year,URL,Description
1,Spider-Man,2002,https://boxd.it/2a8i,
2,Spider-Man: No Way Home,2021,https://boxd.it/nwRw,
3,Spider-Man 2,2004,https://boxd.it/2a88,
4,Spider-Man 3,2007,https://boxd.it/2a7Y,
5,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,
6,Spider-Man: Homecoming,2017,https://boxd.it/aboM,
7,Spider-Man: Far From Home,2019,https://boxd.it/fegG,
8,The Amazing Spider-Man,2012,https://boxd.it/27PI,
9,The Amazing Spider-Man 2,2014,https://boxd.it/3utM,
