
Date,Name,Tags,URL,Description
2021-04-07,“Top 100” - Telecine,,https://boxd.it/bHQF2,"“A equipe do Telecine selecionou 100 filmes que marcaram época pela direção, elenco, roteiro, temática ou simplesmente porque os consideramos maravilhosos!”"

Position,Name,Year,URL,Description
1,Titanic,1997,https://boxd.it/2a2k,
2,The Godfather,1972,https://boxd.it/2aNK,
3,The Godfather: Part II,1974,https://boxd.it/2aNq,
4,Pulp Fiction,1994,https://boxd.it/29Pq,
5,Parasite,2019,https://boxd.it/hTha,
6,Central Station,1998,https://boxd.it/29RG,
7,Inglourious Basterds,2009,https://boxd.it/1JzG,
8,The Shining,1980,https://boxd.it/29Nu,
9,The Dark Knight,2008,https://boxd.it/2b0k,
10,Brokeback Mountain,2005,https://boxd.it/2b2q,
11,Die Hard,1988,https://boxd.it/2a7u,
12,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK,
13,Blue Is the Warmest Color,2013,https://boxd.it/4O40,
14,Black Swan,2010,https://boxd.it/Sw0,
15,La La Land,2016,https://boxd.it/a5fa,
16,Reservoir Dogs,1992,https://boxd.it/2agc,
17,Little Miss Sunshine,2006,https://boxd.it/29EW,
18,The Sixth Sense,1999,https://boxd.it/29Js,
19,The Village,2004,https://boxd.it/21iS,
20,City of God,2002,https://boxd.it/2a2a,
21,E.T. the Extra-Terrestrial,1982,https://boxd.it/2a1G,
22,Jaws,1975,https://boxd.it/2a5e,
23,Forrest Gump,1994,https://boxd.it/728,
24,Psycho,1960,https://boxd.it/2ab2,
25,The Terminator,1984,https://boxd.it/2aQY,
26,All About My Mother,1999,https://boxd.it/2b9c,
27,Spider-Man,2002,https://boxd.it/2a8i,
28,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,
29,Rio,2011,https://boxd.it/NKc,
30,The Matrix,1999,https://boxd.it/2a1m,
31,Scarface,1983,https://boxd.it/2b7g,
32,Back to the Future,1985,https://boxd.it/2b8e,
33,Lost in Translation,2003,https://boxd.it/2b0E,
34,Bad Education,2004,https://boxd.it/2b2K,
35,Into the Wild,2007,https://boxd.it/22m2,
36,A Star Is Born,2018,https://boxd.it/aXgc,
37,The Silence of the Lambs,1991,https://boxd.it/2aHW,
38,The Talented Mr. Ripley,1999,https://boxd.it/2924,
39,Saving Private Ryan,1998,https://boxd.it/29ro,
40,Skyfall,2012,https://boxd.it/17Fc,
41,Bacurau,2019,https://boxd.it/fSUG,
42,Life Is Beautiful,1997,https://boxd.it/29Wm,
43,Raging Bull,1980,https://boxd.it/28yI,
44,Jurassic Park,1993,https://boxd.it/2aA2,
45,Raiders of the Lost Ark,1981,https://boxd.it/2bbs,
46,Alien,1979,https://boxd.it/2awY,
47,Aliens,1986,https://boxd.it/29PA,
48,Waste Land,2010,https://boxd.it/MAg,
49,Flashdance,1983,https://boxd.it/2abG,
50,A Dog's Will,2000,https://boxd.it/12u4,
51,Aquarius,2016,https://boxd.it/d6YQ,
52,The Intouchables,2011,https://boxd.it/2FT0,
53,Good Will Hunting,1997,https://boxd.it/2ahY,
54,Wild Tales,2014,https://boxd.it/7UmK,
55,No Country for Old Men,2007,https://boxd.it/21ew,
56,Logan,2017,https://boxd.it/7Piy,
57,The Man in the Iron Mask,1998,https://boxd.it/1YZO,
58,Requiem for a Dream,2000,https://boxd.it/29VI,
59,Cast Away,2000,https://boxd.it/20i8,
60,Dirty Dancing,1987,https://boxd.it/2baY,
61,The Revenant,2015,https://boxd.it/8H5e,
62,The Blind Side,2009,https://boxd.it/1zWg,
63,The Second Mother,2015,https://boxd.it/9Ydm,
64,Top Gun,1986,https://boxd.it/29JC,
65,Born on the Fourth of July,1989,https://boxd.it/26A8,
66,The Thin Red Line,1998,https://boxd.it/1ZTM,
67,Do the Right Thing,1989,https://boxd.it/29gA,
68,Gone Girl,2014,https://boxd.it/6hQu,
69,Room,2015,https://boxd.it/7T0y,
70,American History X,1998,https://boxd.it/2bdo,
71,Schindler's List,1993,https://boxd.it/2aq2,
72,Platoon,1986,https://boxd.it/29BS,
73,Thelma & Louise,1991,https://boxd.it/28Ew,
74,Sophie's Choice,1982,https://boxd.it/1Lzy,
75,Prometheus,2012,https://boxd.it/2s9e,
76,Portrait of a Lady on Fire,2019,https://boxd.it/jkPq,
77,The Fighter,2010,https://boxd.it/PP4,
78,John Wick,2014,https://boxd.it/7dEc,
79,Taken,2008,https://boxd.it/1ZXa,
80,Gladiator,2000,https://boxd.it/2b9m,
81,King Kong,2005,https://boxd.it/2aLa,
82,Rosemary's Baby,1968,https://boxd.it/29zM,
83,Carrie,1976,https://boxd.it/20ZQ,
84,Les Misérables,2012,https://boxd.it/2TT4,
85,Footloose,1984,https://boxd.it/288A,
86,12 Angry Men,1957,https://boxd.it/2auI,
87,West Side Story,1961,https://boxd.it/28dK,
88,The Seventh Seal,1957,https://boxd.it/2ahO,
89,Chinatown,1974,https://boxd.it/29vU,
90,Annie Hall,1977,https://boxd.it/29M2,
91,Once Upon a Time in the West,1968,https://boxd.it/2az4,
92,Modern Times,1936,https://boxd.it/25MC,
93,City Lights,1931,https://boxd.it/29ki,
94,Once Upon a Time in America,1984,https://boxd.it/2aCs,
95,Airplane!,1980,https://boxd.it/29yu,
96,The Apartment,1960,https://boxd.it/2aGE,
97,The Birds,1963,https://boxd.it/2a6m,
98,"The Good, the Bad and the Ugly",1966,https://boxd.it/2ape,
99,The 400 Blows,1959,https://boxd.it/2b1C,
100,Whiplash,2014,https://boxd.it/7bQA,
101,Fargo,1996,https://boxd.it/2aHM,
102,Ferris Bueller's Day Off,1986,https://boxd.it/1YPY,
103,Taxi Driver,1976,https://boxd.it/2b8y,
104,Se7en,1995,https://boxd.it/29zs,
105,"Master, a Building in Copacabana",2002,https://boxd.it/gJK,
106,Jojo Rabbit,2019,https://boxd.it/iEBG,
107,Chicago,2002,https://boxd.it/28zm,
108,Hidden Figures,2016,https://boxd.it/dgS4,
109,Milk,2008,https://boxd.it/1WZC,
110,Orphan,2009,https://boxd.it/1CgM,
111,The Passion of the Christ,2004,https://boxd.it/29ZK,
112,Catch Me If You Can,2002,https://boxd.it/29VS,
113,A.I. Artificial Intelligence,2001,https://boxd.it/29Ve,
114,Ghost,1990,https://boxd.it/2aLE,
115,Nomadland,2020,https://boxd.it/lnRy,
116,The Big Lebowski,1998,https://boxd.it/2b6C,
117,Promising Young Woman,2020,https://boxd.it/loRE,
118,The Truman Show,1998,https://boxd.it/18U8,
119,Another Round,2020,https://boxd.it/lkba,
120,Loveling,2018,https://boxd.it/hEv2,
121,Carandiru,2003,https://boxd.it/209g,
122,Speed,1994,https://boxd.it/28qk,
123,The Terminal,2004,https://boxd.it/2a2O,
124,The Hobbit: An Unexpected Journey,2012,https://boxd.it/GZk,
125,"Quo vadis, Aida?",2020,https://boxd.it/riws,
126,Moulin Rouge!,2001,https://boxd.it/29wI,
127,Walk the Line,2005,https://boxd.it/2bdS,
128,Fences,2016,https://boxd.it/dL6A,
129,The Impossible,2012,https://boxd.it/2N9k,
130,A Quiet Place,2018,https://boxd.it/fVJQ,
131,Flight,2012,https://boxd.it/35Ca,
132,Coco Before Chanel,2009,https://boxd.it/1Uv6,
133,Spartacus,1960,https://boxd.it/29bq,
134,Barren Lives,1963,https://boxd.it/29uM,
135,Apollo 13,1995,https://boxd.it/2a6G,
136,It's a Wonderful Life,1946,https://boxd.it/28xA,
137,The Piano,1993,https://boxd.it/29Kq,
