
Date,Name,Tags,URL,Description
2022-06-28,"Trilhas sonoras que eu compraria o cd na Americanas por 9,90 🎬🎼",,https://boxd.it/h9Wo8,

Position,Name,Year,URL,Description
1,Waiting for Bojangles,2021,https://boxd.it/w7Ra,
2,Chungking Express,1994,https://boxd.it/1UDa,
3,Boogie Nights,1997,https://boxd.it/23um,
4,The Virgin Suicides,1999,https://boxd.it/28JG,
5,The Shape of Water,2017,https://boxd.it/dZ5m,
6,Shall We Dance?,2004,https://boxd.it/24r4,
7,Singin' in the Rain,1952,https://boxd.it/29oY,
8,The Sound of Music,1965,https://boxd.it/1MLK,
9,The Martian,2015,https://boxd.it/8SeG,
10,A Clockwork Orange,1971,https://boxd.it/2aVE,
11,Mamma Mia!,2008,https://boxd.it/1Tnq,
12,Amélie,2001,https://boxd.it/2aUc,
13,La La Land,2016,https://boxd.it/a5fa,
14,Moonlight,2016,https://boxd.it/d6bE,
15,The Devil Wears Prada,2006,https://boxd.it/2awE,
16,Saturday Night Fever,1977,https://boxd.it/1URQ,
17,Coco,2017,https://boxd.it/bYJQ,
18,Cinema Paradiso,1988,https://boxd.it/1UlA,
19,Dark Habits,1983,https://boxd.it/20tg,
20,They Don't Wear Black Tie,1981,https://boxd.it/66nQ,
