
Date,Name,Tags,URL,Description
2021-06-27,Túnel do tempo 🎞,,https://boxd.it/cx17W,"Viajando pelo túnel do tempo da sétima arte. 4 filmes de cada década entre 1920’s - 2020’s para tentar assistir à mais coisas diferentes. A maioria foi escolhida dentre os mais populares de cada década, outros só quero assistir há um tempo."

Position,Name,Year,URL,Description
1,The Cabinet of Dr. Caligari,1920,https://boxd.it/2aOo,
2,The Kid,1921,https://boxd.it/1X5U,
3,Man with a Movie Camera,1929,https://boxd.it/1u7s,
4,The Passion of Joan of Arc,1928,https://boxd.it/29DO,
5,Gone with the Wind,1939,https://boxd.it/29Fq,
6,The Wizard of Oz,1939,https://boxd.it/29Xu,
7,You Only Live Once,1937,https://boxd.it/ycO,
8,Frankenstein,1931,https://boxd.it/25Te,
9,Bicycle Thieves,1948,https://boxd.it/23hW,
10,The Third Man,1949,https://boxd.it/294E,
11,The Great Dictator,1940,https://boxd.it/29ic,
12,Fantasia,1940,https://boxd.it/29HG,
13,The Seventh Seal,1957,https://boxd.it/2ahO,
14,The 400 Blows,1959,https://boxd.it/2b1C,
15,Roman Holiday,1953,https://boxd.it/29zW,
16,Some Like It Hot,1959,https://boxd.it/2aNA,
17,"The Good, the Bad and the Ugly",1966,https://boxd.it/2ape,
18,West Side Story,1961,https://boxd.it/28dK,
19,La Chinoise,1967,https://boxd.it/28rC,
20,Rosemary's Baby,1968,https://boxd.it/29zM,
21,Star Wars,1977,https://boxd.it/72s,
22,A Clockwork Orange,1971,https://boxd.it/2aVE,
23,Apocalypse Now,1979,https://boxd.it/6ZS,
24,Suspiria,1977,https://boxd.it/1SNW,
25,Back to the Future,1985,https://boxd.it/2b8e,
26,Cinema Paradiso,1988,https://boxd.it/1UlA,
27,She's Gotta Have It,1986,https://boxd.it/1quC,
28,Raging Bull,1980,https://boxd.it/28yI,
29,The Big Lebowski,1998,https://boxd.it/2b6C,
30,Schindler's List,1993,https://boxd.it/2aq2,
31,Eyes Wide Shut,1999,https://boxd.it/2axs,
32,Three Colors: Blue,1993,https://boxd.it/2b7K,
33,Donnie Darko,2001,https://boxd.it/2b2A,
34,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/2b5O,
35,The Departed,2006,https://boxd.it/28MA,
36,Love Actually,2003,https://boxd.it/2aeU,
37,Moonlight,2016,https://boxd.it/d6bE,
38,Little Women,2019,https://boxd.it/aSVk,
39,Nightcrawler,2014,https://boxd.it/780m,
40,"Three Billboards Outside Ebbing, Missouri",2017,https://boxd.it/ceBS,
41,Nomadland,2020,https://boxd.it/lnRy,
42,Another Round,2020,https://boxd.it/lkba,
43,Soul,2020,https://boxd.it/ioLA,
44,Tenet,2020,https://boxd.it/leq4,
