
Date,Name,Tags,URL,Description
2021-08-29,Volta ao mundo 🌍🎥,,https://boxd.it/ddbkU,"🇮🇷 Irã - Abbas Kiarostami: Gosto de cereja 🍒 
🇵🇱 Polônia - Pawel Pawlikowski: Guerra Fria ⚫️
🇪🇸 Espanha - Pedro Almodóvar: Julieta 🍎
🇮🇹 Itália - Vittorio De Seca: Ladrões de bicicleta 🚲 
🇫🇷 França - Jean-Luc Godard: Acossado 
🇩🇪 Alemanha - Wolfgang Becker: Adeus, Lênin 👋
🇸🇪 Suécia - Ingmar Bergman: O sétimo selo 
🇷🇺 Rússia - : Leto (Verão)
🇭🇺 Hungria - Béla Tarr: Sátántangó
🇰🇷 Coréia do Sul - Park Chan-wook: A criada (The Handmaiden)
🇧🇷 Brasil
🇦🇷 Argentina
🇬🇷 Grécia
🇯🇵 Japão"

Position,Name,Year,URL,Description
1,Taste of Cherry,1997,https://boxd.it/1m8W,
2,Cold War,2018,https://boxd.it/fEoc,
3,Julieta,2016,https://boxd.it/aY26,
4,Bicycle Thieves,1948,https://boxd.it/23hW,
5,Breathless,1960,https://boxd.it/2aIK,
6,Good Bye Lenin!,2003,https://boxd.it/2ayA,
7,The Seventh Seal,1957,https://boxd.it/2ahO,
8,Leto,2018,https://boxd.it/i9Tu,
9,Satantango,1994,https://boxd.it/1j9M,
10,The Handmaiden,2016,https://boxd.it/948A,
