
Date,Name,Tags,URL,Description
2022-01-05,Willem Dafoe 🐛,,https://boxd.it/eMvqW,"Todos os filmes que eu já vi, dentre as incontáveis quase duas centenas de filmes, desse ator cameleônico incrível."

Position,Name,Year,URL,Description
1,The Lighthouse,2019,https://boxd.it/icFU,
2,Spider-Man 2,2004,https://boxd.it/2a88,
3,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO,
4,The French Dispatch,2021,https://boxd.it/jLP8,
5,Platoon,1986,https://boxd.it/29BS,
6,Spider-Man: No Way Home,2021,https://boxd.it/nwRw,
7,John Wick,2014,https://boxd.it/7dEc,
8,Murder on the Orient Express,2017,https://boxd.it/dHjA,
9,Spider-Man 3,2007,https://boxd.it/2a7Y,
10,The Aviator,2004,https://boxd.it/26BU,
11,Inside Man,2006,https://boxd.it/2auS,
12,Basquiat,1996,https://boxd.it/2a9A,
13,Speed 2: Cruise Control,1997,https://boxd.it/28qa,
14,The Clearing,2004,https://boxd.it/1Vvw,
15,American Psycho,2000,https://boxd.it/28Vs,
16,The Fault in Our Stars,2014,https://boxd.it/6BQa,
17,Aquaman,2018,https://boxd.it/9ru0,
