
Date,Name,Tags,URL,Description
2022-01-06,Written and directed by the same person 🎬🎥📝,,https://boxd.it/eNRLu,

Position,Name,Year,URL,Description
1,All About My Mother,1999,https://boxd.it/2b9c,
2,Do the Right Thing,1989,https://boxd.it/29gA,
3,Pulp Fiction,1994,https://boxd.it/29Pq,
4,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO,
5,Midnight in Paris,2011,https://boxd.it/i4a,
6,La Chinoise,1967,https://boxd.it/28rC,
7,The Matrix,1999,https://boxd.it/2a1m,
8,Whiplash,2014,https://boxd.it/7bQA,
9,Persona,1966,https://boxd.it/29B4,
10,Lost in Translation,2003,https://boxd.it/2b0E,
11,City Lights,1931,https://boxd.it/29ki,
12,The Lobster,2015,https://boxd.it/7tnw,
13,Pan's Labyrinth,2006,https://boxd.it/28No,
14,There Will Be Blood,2007,https://boxd.it/20Z2,
15,Eraserhead,1977,https://boxd.it/299u,
16,Interstellar,2014,https://boxd.it/4VZ8,
17,Another Round,2020,https://boxd.it/lkba,
