Date,Name,Year,Letterboxd URI
2016-07-01,Birdman or (The Unexpected Virtue of Ignorance),2014,https://boxd.it/5RFA
2016-07-01,Moonrise Kingdom,2012,https://boxd.it/2Wng
2016-07-01,Apocalypse Now,1979,https://boxd.it/6ZS
2016-07-01,Amistad,1997,https://boxd.it/1SZ4
2016-07-02,V for Vendetta,2005,https://boxd.it/29Ik
2016-07-02,Stand by Me,1986,https://boxd.it/2aOe
2016-07-03,Fahrenheit 9/11,2004,https://boxd.it/28a2
2016-07-03,Mr. Nobody,2009,https://boxd.it/1k44
2016-07-03,Empire of the Sun,1987,https://boxd.it/1X4i
2016-07-10,Metropolis,1927,https://boxd.it/71a
2016-08-01,Moon,2009,https://boxd.it/1IGQ
2016-09-07,Entranced Earth,1967,https://boxd.it/qkU
2016-10-11,Requiem for a Dream,2000,https://boxd.it/29VI
2016-12-10,Vicky Cristina Barcelona,2008,https://boxd.it/23rW
2017-01-26,Alexander's Ragtime Band,1938,https://boxd.it/Tso
2017-04-22,8½,1963,https://boxd.it/2aqm
2017-08-30,The Usual Suspects,1995,https://boxd.it/29XE
2017-08-30,Chinatown,1974,https://boxd.it/29vU
2017-08-30,Donnie Darko,2001,https://boxd.it/2b2A
2017-08-30,The Third Man,1949,https://boxd.it/294E
2017-11-13,The Blues Brothers,1980,https://boxd.it/2adi
2017-11-18,Manifesto,2015,https://boxd.it/diI6
2018-01-28,Spotlight,2015,https://boxd.it/a84k
2018-03-07,"Three Billboards Outside Ebbing, Missouri",2017,https://boxd.it/ceBS
2018-05-01,The Salt of the Earth,2014,https://boxd.it/7Uyc
2018-05-20,Papillon,1973,https://boxd.it/22kK
2018-06-16,The Bridges of Madison County,1995,https://boxd.it/29Os
2018-08-19,Nine Queens,2000,https://boxd.it/1HBA
2018-09-08,"They Shoot Horses, Don't They?",1969,https://boxd.it/1q9u
2018-09-08,Who's Afraid of Virginia Woolf?,1966,https://boxd.it/2atK
2018-10-26,Dogville,2003,https://boxd.it/2a8W
2019-03-15,Magnolia,1999,https://boxd.it/2aze
2019-05-14,Fantastic Mr. Fox,2009,https://boxd.it/1WyQ
2019-07-08,The Handmaiden,2016,https://boxd.it/948A
2019-08-25,Juno,2007,https://boxd.it/210a
2019-08-25,Pixote,1980,https://boxd.it/XCs
2019-08-25,Madame Satã,2002,https://boxd.it/LO2
2019-11-24,Argo,2012,https://boxd.it/2czU
2019-11-24,Doctor Sleep,2019,https://boxd.it/i5vI
2020-02-21,Carandiru,2003,https://boxd.it/209g
2020-02-21,Lower City,2005,https://boxd.it/208M
2020-02-21,O Beijo no Asfalto,2018,https://boxd.it/hkyg
2020-03-23,The Motorcycle Diaries,2004,https://boxd.it/28nU
2020-03-23,"Paris, Je T'Aime",2006,https://boxd.it/273a
2020-03-23,A Dog's Will,2000,https://boxd.it/12u4
2020-03-23,Time and the Wind,2013,https://boxd.it/6CmK
2020-03-23,Hour of the Star,1985,https://boxd.it/XUQ
2020-05-24,Dancer in the Dark,2000,https://boxd.it/71E
2020-05-24,Melancholia,2011,https://boxd.it/bPI
2020-05-29,Seven Samurai,1954,https://boxd.it/2axi
2020-06-06,25th Hour,2002,https://boxd.it/28LC
2020-06-12,Biutiful,2010,https://boxd.it/OiI
2020-06-13,Barry Lyndon,1975,https://boxd.it/25A2
2020-06-16,Soul Kitchen,2009,https://boxd.it/1jGm
2020-09-08,Much Ado About Nothing,1993,https://boxd.it/1SDM
2020-09-10,Before Midnight,2013,https://boxd.it/4ive
2020-10-09,Mud,2012,https://boxd.it/3wPA
2020-10-13,The Pelican Brief,1993,https://boxd.it/1Xt8
2020-10-13,Gangs of New York,2002,https://boxd.it/25FG
2020-10-13,Three Colors: Red,1994,https://boxd.it/2b7q
2020-10-22,Adaptation.,2002,https://boxd.it/26mA
2020-11-03,Being John Malkovich,1999,https://boxd.it/2ahu
2020-11-04,Love Me Forever or Never,1986,https://boxd.it/2AvM
2020-11-26,Cal,1984,https://boxd.it/XMM
2020-11-26,Paris Is Burning,1990,https://boxd.it/1jzg
2020-12-04,The Nest,2020,https://boxd.it/jTqq
2020-12-04,The Departed,2006,https://boxd.it/28MA
2020-12-09,Dazed and Confused,1993,https://boxd.it/1Ylk
2020-12-11,Mrs. America,2020,https://boxd.it/oO4u
2020-12-22,Ma Rainey's Black Bottom,2020,https://boxd.it/mLcm
2021-01-02,Still Alice,2014,https://boxd.it/8Nhq
2021-01-04,Love Actually,2003,https://boxd.it/2aeU
2021-01-04,Oldboy,2003,https://boxd.it/29R2
2021-01-09,The Last of the Mohicans,1992,https://boxd.it/1YSo
2021-01-19,Double Indemnity,1944,https://boxd.it/297I
2021-01-21,The 355,2022,https://boxd.it/iWI6
2021-01-23,Clue,1985,https://boxd.it/1MDQ
2021-01-24,Frankenstein,1931,https://boxd.it/25Te
2021-02-07,All the Women in the World,1966,https://boxd.it/7njS
2021-02-16,Blue Valentine,2010,https://boxd.it/MxG
2021-03-07,Red Dragon,2002,https://boxd.it/1Yrs
2021-03-07,Burn After Reading,2008,https://boxd.it/23BW
2021-04-26,Judas and the Black Messiah,2021,https://boxd.it/lsew
2021-05-01,13th,2016,https://boxd.it/elNg
2021-05-04,Come and See,1985,https://boxd.it/1w9q
2021-05-23,Klute,1971,https://boxd.it/2ako
2021-05-27,Philadelphia,1993,https://boxd.it/1XMk
2021-06-04,Bo Burnham: Inside,2021,https://boxd.it/v2uy
2021-06-04,Mare of Easttown,2021,https://boxd.it/u2h8
2021-06-05,One Day,2011,https://boxd.it/Asu
2021-06-05,Get Smart,2008,https://boxd.it/1Tig
2021-06-05,Snowpiercer,2013,https://boxd.it/3Icg
2021-06-05,Bad Blood,,https://boxd.it/ebDg
2021-06-05,Halston,2021,https://boxd.it/uYHS
2021-06-05,Basic Instinct,1992,https://boxd.it/2asM
2021-06-05,House of Gucci,2021,https://boxd.it/nVkC
2021-06-05,The Report,2019,https://boxd.it/j2X2
2021-06-05,Suspiria,1977,https://boxd.it/1SNW
2021-06-05,Suspiria,2018,https://boxd.it/cioI
2021-06-05,Under the Tuscan Sun,2003,https://boxd.it/1V2u
2021-06-05,The Secret Life of Walter Mitty,2013,https://boxd.it/3SWy
2021-06-15,Difret,2014,https://boxd.it/7dC6
2021-06-20,The Graduate,1967,https://boxd.it/18Im
2021-06-27,Sabrina,1954,https://boxd.it/21tc
2021-06-27,Three Christs,2017,https://boxd.it/eMnk
2021-06-27,The Wizard of Oz,1939,https://boxd.it/29Xu
2021-06-27,The Young Girls of Rochefort,1967,https://boxd.it/26K8
2021-06-27,Maps to the Stars,2014,https://boxd.it/4WCu
2021-06-27,The Phantom of Liberty,1974,https://boxd.it/22VG
2021-06-27,Antes Que Eu Me Esqueça,2017,https://boxd.it/hhiY
2021-06-27,Tout Va Bien,1972,https://boxd.it/20AQ
2021-06-27,Philomena,2013,https://boxd.it/69OA
2021-06-27,O Juízo,2019,https://boxd.it/ithK
2021-06-27,Pina,2011,https://boxd.it/n5W
2021-06-27,Heroic Losers,2019,https://boxd.it/lXFS
