Country;X2020;Continent
São Tomé and Príncipe;0.477;Africa
Seychelles;1.138;Africa
Comoros;1.216;Africa
Guinea-Bissau;1.434;Africa
Cabo Verde;1.707;Africa
The Gambia;1.862;Africa
Lesotho;1.999;Africa
Equatorial Guinea;10.036;Africa
Republic of Congo;10.329;Africa
Rwanda;10.332;Africa
Namibia;10.71;Africa
Chad;10.836;Africa
Mauritius;10.921;Africa
Kenya;102.427;Africa
Malawi;11.847;Africa
Morocco;114.602;Africa
Madagascar;13.179;Africa
Niger;13.761;Africa
Mozambique;14.029;Africa
Algeria;147.6;Africa
Botswana;15.064;Africa
Gabon;15.339;Africa
Guinea;15.388;Africa
Benin;15.674;Africa
Mali;17.491;Africa
Libya;19.21;Africa
Zambia;19.319;Africa
Eritrea;2.084;Africa
Central African Republic;2.387;Africa
Zimbabwe;21.924;Africa
Senegal;24.681;Africa
Liberia;3.037;Africa
Burundi;3.04;Africa
Djibouti;3.44;Africa
Eswatini;3.981;Africa
South Africa;335.344;Africa
Sudan;34.396;Africa
Egypt;363.245;Africa
Uganda;38.141;Africa
Tunisia;39.219;Africa
Cameroon;39.938;Africa
Sierra Leone;4.202;Africa
South Sudan;4.44;Africa
Somalia;4.99;Africa
Nigeria;429.423;Africa
Democratic Republic of the Congo;48.707;Africa
Angola;58.376;Africa
Côte d'Ivoire;61.231;Africa
Tanzania;64.403;Africa
Ghana;68.498;Africa
Togo;7.586;Africa
Mauritania;8.11;Africa
Ethiopia;96.611;Africa
Timor-Leste;1.777;Asia
Kuwait;105.949;Asia
Indonesia;1059.638;Asia
Brunei Darussalam;12.003;Asia
Mongolia;13.137;Asia
Qatar;145.45;Asia
Russia;1478.571;Asia
China;14866.741;Asia
West Bank and Gaza;15.561;Asia
Korea;1638.258;Asia
Iraq;169.488;Asia
Burkina Faso;17.378;Asia
Kazakhstan;171.24;Asia
Lao P.D.R.;18.82;Asia
Yemen;18.841;Asia
Lebanon;19.008;Asia
Bhutan;2.503;Asia
Afghanistan;20.136;Asia
Macao SAR;24.333;Asia
Cambodia;25.192;Asia
Pakistan;261.726;Asia
India;2660.244;Asia
Maldives;3.738;Asia
Bangladesh;323.057;Asia
Nepal;33.983;Asia
Malaysia;337.008;Asia
Singapore;339.981;Asia
Bahrain;34.729;Asia
Vietnam;343.114;Asia
Hong Kong SAR;346.584;Asia
United Arab Emirates;358.869;Asia
Philippines;361.489;Asia
Israel;407.101;Asia
Azerbaijan;42.607;Asia
Jordan;43.759;Asia
Turkmenistan;45.609;Asia
Thailand;501.712;Asia
Japan;5045.101;Asia
Uzbekistan;59.928;Asia
Oman;63.368;Asia
Taiwan Province of China;668.156;Asia
Kyrgyz Republic;7.747;Asia
Tajikistan;7.997;Asia
